ru,data,refeicao,id_preparacao,tipo_preparacao,preparacao,preparacao_bruta,otimo,regular,ruim,total_respostas,isc_linha
P1,2026-04-22,Jantar,57.0,PB,Cubos de Frango ao M. de Legumes,Cubos de Frango ao M. de Legumes,35.0,18.0,20.0,73.0,6.301369863013699
B,2026-04-22,Jantar,57.0,PB,Cubos de Frango ao M. de Legumes,Cubos de Frango ao M. de Legumes,44.0,15.0,5.0,64.0,8.125
P1,2026-04-22,Jantar,133.0,PV,Suíno ao M. Escuro,Suíno ao M. Escuro,57.0,12.0,6.0,75.0,8.48
B,2026-04-22,Jantar,133.0,PV,Suíno ao M. Escuro,Suíno ao M. Escuro,40.0,10.0,2.0,52.0,8.692307692307692
P1,2026-04-22,Jantar,172.0,VEG,Almôndegas de Lentilha,Almôndegas de Lentilha,11.0,3.0,18.0,32.0,4.46875
B,2026-04-22,Jantar,172.0,VEG,Almôndegas de Lentilha,Almôndegas de Lentilha,9.0,1.0,5.0,15.0,6.666666666666667
P1,2026-04-23,Jantar,77.0,PB,Peixe ao M. Branco,Peixe ao M. Branco,103.0,94.0,9.0,206.0,7.325242718446602
B,2026-04-23,Jantar,77.0,PB,Peixe ao M. Branco,Peixe ao M. Branco,40.0,3.0,0.0,43.0,9.651162790697674
P1,2026-04-23,Jantar,122.0,PV,Isca de Carne Chinesa,Isca de Carne Chinesa,107.0,10.0,4.0,121.0,9.289256198347108
B,2026-04-23,Jantar,122.0,PV,Isca de Carne Chinesa,Isca de Carne Chinesa,81.0,16.0,3.0,100.0,8.93
P1,2026-04-23,Jantar,213.0,VEG,Yakissoba Vegetariano,Yakissoba Vegetariano,31.0,4.0,8.0,43.0,7.8604651162790695
B,2026-04-23,Jantar,213.0,VEG,Yakissoba Vegetariano,Yakissoba Vegetariano,16.0,5.0,9.0,30.0,6.466666666666667
P1,2026-04-24,Jantar,51.0,PB,Creme de Frango,Creme de Frango,72.0,4.0,2.0,78.0,9.512820512820513
B,2026-04-24,Jantar,51.0,PB,Creme de Frango,Creme de Frango,50.0,6.0,2.0,58.0,9.172413793103448
P1,2026-04-24,Jantar,108.0,PV,Cubo suíno acebolado,Cubo suíno acebolado,31.0,8.0,4.0,43.0,8.232558139534884
B,2026-04-24,Jantar,108.0,PV,Cubo suíno acebolado,Cubo suíno acebolado,22.0,1.0,1.0,24.0,9.416666666666666
P1,2026-04-24,Jantar,184.0,VEG,Escondidinho de Legumes,Escondidinho de Legumes,7.0,1.0,5.0,13.0,6.153846153846154
B,2026-04-24,Jantar,184.0,VEG,Escondidinho de Legumes,Escondidinho de Legumes,19.0,4.0,1.0,24.0,8.791666666666666
P1,2026-04-27,Jantar,80.0,PB,Sobrecoxa  ao M.Ervas,Sobrecoxa  ao M.Ervas,36.0,16.0,27.0,79.0,5.9113924050632916
B,2026-04-27,Jantar,80.0,PB,Sobrecoxa  ao M.Ervas,Sobrecoxa  ao M.Ervas,33.0,14.0,14.0,61.0,6.786885245901639
P1,2026-04-27,Jantar,111.0,PV,Cubos Suíno ao molho barbecue,Cubos Suíno ao molho barbecue,83.0,17.0,3.0,103.0,8.912621359223301
B,2026-04-27,Jantar,111.0,PV,Cubos Suíno ao molho barbecue,Cubos Suíno ao molho barbecue,60.0,5.0,5.0,70.0,9.0
P1,2026-04-27,Jantar,179.0,VEG,Bolinha de grão de bico,Bolinha de grão de bico,8.0,10.0,15.0,33.0,4.393939393939394
B,2026-04-27,Jantar,179.0,VEG,Bolinha de grão de bico,Bolinha de grão de bico,11.0,5.0,5.0,21.0,6.666666666666667
P1,2026-04-28,Jantar,60.0,PB,Cubos de Frango com Batata Rústica,Cubos de Frango com Batata Rústica,63.0,25.0,12.0,100.0,7.67
B,2026-04-28,Jantar,60.0,PB,Cubos de Frango com Batata Rústica,Cubos de Frango com Batata Rústica,41.0,13.0,2.0,56.0,8.517857142857142
P1,2026-04-28,Jantar,97.0,PV,Carne Moída Refogada,Carne Moída Refogada,83.0,5.0,1.0,89.0,9.617977528089888
B,2026-04-28,Jantar,97.0,PV,Carne Moída Refogada,Carne Moída Refogada,55.0,5.0,1.0,61.0,9.442622950819672
P1,2026-04-28,Jantar,192.0,VEG,Jardineira de Soja,Jardineira de Soja,16.0,7.0,1.0,24.0,8.166666666666666
B,2026-04-28,Jantar,192.0,VEG,Jardineira de Soja,Jardineira de Soja,6.0,2.0,1.0,9.0,7.888888888888889
P1,2026-04-29,Jantar,81.0,PB,Sobrecoxa Assada,Sobrecoxa Assada,32.0,9.0,1.0,42.0,8.714285714285714
B,2026-04-29,Jantar,81.0,PB,Sobrecoxa Assada,Sobrecoxa Assada,32.0,15.0,0.0,47.0,8.404255319148936
P1,2026-04-29,Jantar,124.0,PV,Isca de Carne ao Molho Escuro,Isca de Carne ao Molho Escuro,67.0,14.0,4.0,85.0,8.75294117647059
B,2026-04-29,Jantar,124.0,PV,Isca de Carne ao Molho Escuro,Isca de Carne ao Molho Escuro,62.0,10.0,3.0,75.0,8.973333333333333
P1,2026-04-29,Jantar,193.0,VEG,Lasanha Vegetaraiana,Lasanha Vegetaraiana,26.0,6.0,6.0,38.0,7.7894736842105265
B,2026-04-29,Jantar,193.0,VEG,Lasanha Vegetaraiana,Lasanha Vegetaraiana,48.0,6.0,2.0,56.0,9.142857142857142
P1,2026-04-30,Jantar,64.0,PB,Estrogonofe de Frango,Estrogonofe de Frango,17.0,10.0,0.0,27.0,8.148148148148149
B,2026-04-30,Jantar,64.0,PB,Estrogonofe de Frango,Estrogonofe de Frango,65.0,10.0,3.0,78.0,9.012820512820513
P1,2026-04-30,Jantar,108.0,PV,Cubo suíno acebolado,Cubo suíno acebolado,49.0,4.0,8.0,61.0,8.491803278688524
B,2026-04-30,Jantar,108.0,PV,Cubo suíno acebolado,Cubo suíno acebolado,55.0,2.0,1.0,58.0,9.672413793103448
P1,2026-04-30,Jantar,185.0,VEG,Escondidinho de Soja,Escondidinho de Soja,17.0,3.0,2.0,22.0,8.5
B,2026-04-30,Jantar,185.0,VEG,Escondidinho de Soja,Escondidinho de Soja,19.0,9.0,1.0,29.0,8.137931034482758
P1,2026-05-04,Jantar,67.0,PB,Fricassê de Frango,Fricassê de Frango,105.0,24.0,7.0,136.0,8.654411764705882
B,2026-05-04,Jantar,67.0,PB,Fricassê de Frango,Fricassê de Frango,24.0,3.0,0.0,27.0,9.444444444444445
P1,2026-05-04,Jantar,108.0,PV,Cubo suíno acebolado,Cubo suíno acebolado,36.0,6.0,3.0,45.0,8.733333333333333
B,2026-05-04,Jantar,108.0,PV,Cubo suíno acebolado,Cubo suíno acebolado,50.0,7.0,0.0,57.0,9.385964912280702
P1,2026-05-04,Jantar,205.0,VEG,Salpicão vegano,Salpicão vegano,9.0,5.0,6.0,20.0,6.05
B,2026-05-04,Jantar,205.0,VEG,Salpicão vegano,Salpicão vegano,21.0,6.0,1.0,28.0,8.607142857142858
P1,2026-05-05,Jantar,84.0,PB,Sobrecoxa Desossada,Sobrecoxa Desossada,42.0,5.0,4.0,51.0,8.803921568627452
B,2026-05-05,Jantar,84.0,PB,Sobrecoxa Desossada,Sobrecoxa Desossada,63.0,13.0,4.0,80.0,8.7375
P1,2026-05-05,Jantar,97.0,PV,Carne Moída Refogada,Carne Moída Refogada,48.0,8.0,3.0,59.0,8.864406779661017
B,2026-05-05,Jantar,97.0,PV,Carne Moída Refogada,Carne Moída Refogada,66.0,4.0,2.0,72.0,9.472222222222221
P1,2026-05-05,Jantar,190.0,VEG,Hambúrguer de Soja,Hambúrguer de Soja,13.0,4.0,5.0,22.0,7.045454545454546
B,2026-05-05,Jantar,190.0,VEG,Hambúrguer de Soja,Hambúrguer de Soja,14.0,6.0,6.0,26.0,6.769230769230769
P1,2026-05-06,Jantar,52.0,PB,Cubos de Frango Acebolado,Cubos de Frango Acebolado,34.0,12.0,5.0,51.0,7.9411764705882355
B,2026-05-06,Jantar,52.0,PB,Cubos de Frango Acebolado,Cubos de Frango Acebolado,61.0,19.0,4.0,84.0,8.44047619047619
P1,2026-05-06,Jantar,123.0,PV,Isca de Carne ao M. Tomate,Isca de Carne ao M. Tomate,72.0,7.0,0.0,79.0,9.556962025316455
B,2026-05-06,Jantar,123.0,PV,Isca de Carne ao M. Tomate,Isca de Carne ao M. Tomate,53.0,15.0,21.0,89.0,7.033707865168539
P1,2026-05-06,Jantar,199.0,VEG,Panqueca Vegana ao Molho Branco,Panqueca Vegana ao Molho Branco,27.0,5.0,2.0,34.0,8.735294117647058
B,2026-05-06,Jantar,199.0,VEG,Panqueca Vegana ao Molho Branco,Panqueca Vegana ao Molho Branco,24.0,5.0,8.0,37.0,7.378378378378378
P1,2026-05-07,Jantar,79.0,PB,Peixe à Delícia,Peixe à Delícia,65.0,6.0,14.0,85.0,8.16470588235294
B,2026-05-07,Jantar,79.0,PB,Peixe à Delícia,Peixe à Delícia,72.0,14.0,1.0,87.0,9.091954022988507
P1,2026-05-07,Jantar,113.0,PV,Cubos de Carne ao M. Madeira,Cubos de Carne ao M. Madeira,46.0,10.0,13.0,69.0,7.579710144927536
B,2026-05-07,Jantar,113.0,PV,Cubos de Carne ao M. Madeira,Cubos de Carne ao M. Madeira,57.0,15.0,15.0,87.0,7.586206896551724
P1,2026-05-07,Jantar,210.0,VEG,Suflê de Legumes,Suflê de Legumes,43.0,3.0,,,9.673913043478262
B,2026-05-07,Jantar,210.0,VEG,Suflê de Legumes,Suflê de Legumes,12.0,7.0,3.0,22.0,7.181818181818182
P1,2026-05-08,Jantar,53.0,PB,Cubos de Frango ao M. Escuro,Cubos de Frango ao M. Escuro,35.0,2.0,1.0,38.0,9.5
B,2026-05-08,Jantar,53.0,PB,Cubos de Frango ao M. Escuro,Cubos de Frango ao M. Escuro,30.0,6.0,1.0,37.0,8.945945945945946
P1,2026-05-08,Jantar,136.0,PV,Torta de Calabresa,Torta de Calabresa,27.0,24.0,41.0,92.0,4.684782608695652
B,2026-05-08,Jantar,136.0,PV,Torta de Calabresa,Torta de Calabresa,46.0,8.0,13.0,67.0,7.656716417910448
P1,2026-05-08,Jantar,211.0,VEG,Torta de Legumes,Torta de Legumes,4.0,4.0,1.0,9.0,6.777777777777778
B,2026-05-08,Jantar,211.0,VEG,Torta de Legumes,Torta de Legumes,12.0,4.0,1.0,17.0,8.294117647058824
P1,2026-05-11,Jantar,89.0,PB,Sobrecoxa ao M. de Legumes,Sobrecoxa ao M. de Legumes,41.0,10.0,15.0,66.0,7.196969696969697
B,2026-05-11,Jantar,89.0,PB,Sobrecoxa ao M. de Legumes,Sobrecoxa ao M. de Legumes,25.0,8.0,2.0,35.0,8.342857142857143
P1,2026-05-11,Jantar,121.0,PV,Isca de Carne Acebolada,Isca de Carne Acebolada,69.0,9.0,8.0,86.0,8.63953488372093
B,2026-05-11,Jantar,121.0,PV,Isca de Carne Acebolada,Isca de Carne Acebolada,74.0,11.0,3.0,88.0,9.068181818181818
P1,2026-05-11,Jantar,203.0,VEG,Rocambole de Grão de Bico,Rocambole de Grão de Bico,12.0,5.0,27.0,44.0,3.909090909090909
B,2026-05-11,Jantar,203.0,VEG,Rocambole de Grão de Bico,Rocambole de Grão de Bico,11.0,5.0,4.0,20.0,6.95
P1,2026-05-12,Jantar,65.0,PB,Frango Xadrez,Frango Xadrez,96.0,12.0,5.0,113.0,9.070796460176991
B,2026-05-12,Jantar,65.0,PB,Frango Xadrez,Frango Xadrez,49.0,5.0,2.0,56.0,9.232142857142858
P1,2026-05-12,Jantar,97.0,PV,Carne Moída Refogada,Carne Moída Refogada,101.0,4.0,8.0,113.0,9.185840707964601
B,2026-05-12,Jantar,97.0,PV,Carne Moída Refogada,Carne Moída Refogada,54.0,6.0,3.0,63.0,9.095238095238095
P1,2026-05-12,Jantar,177.0,VEG,Bobó de Legumes,Bobó de Legumes,15.0,3.0,2.0,20.0,8.35
B,2026-05-12,Jantar,177.0,VEG,Bobó de Legumes,Bobó de Legumes,13.0,2.0,1.0,16.0,8.8125
P1,2026-05-13,Jantar,92.0,PB,Vatapá de Frango,Vatapá de Frango,87.0,6.0,2.0,95.0,9.494736842105263
B,2026-05-13,Jantar,92.0,PB,Vatapá de Frango,Vatapá de Frango,114.0,8.0,2.0,124.0,9.53225806451613
P1,2026-05-13,Jantar,130.0,PV,Picadinho com Legumes,Picadinho com Legumes,38.0,8.0,3.0,49.0,8.63265306122449
B,2026-05-13,Jantar,130.0,PV,Picadinho com Legumes,Picadinho com Legumes,63.0,12.0,10.0,85.0,8.235294117647058
P1,2026-05-13,Jantar,182.0,VEG,Bolo Salgado Vegano,Bolo Salgado Vegano,9.0,0.0,7.0,16.0,6.0625
B,2026-05-13,Jantar,182.0,VEG,Bolo Salgado Vegano,Bolo Salgado Vegano,8.0,5.0,0.0,13.0,8.076923076923077
P1,2026-05-14,Jantar,62.0,PB,Cubos de Frango à Chinesa,Cubos de Frango à Chinesa,42.0,8.0,3.0,53.0,8.735849056603774
B,2026-05-14,Jantar,62.0,PB,Cubos de Frango à Chinesa,Cubos de Frango à Chinesa,36.0,14.0,2.0,52.0,8.307692307692308
P1,2026-05-14,Jantar,96.0,PV,Calabresa à Carioca,Calabresa à Carioca,70.0,12.0,6.0,88.0,8.704545454545455
B,2026-05-14,Jantar,96.0,PV,Calabresa à Carioca,Calabresa à Carioca,63.0,4.0,2.0,69.0,9.44927536231884
P1,2026-05-14,Jantar,212.0,VEG,Vatapá Vegano,Vatapá Vegano,33.0,6.0,4.0,43.0,8.465116279069768
B,2026-05-14,Jantar,212.0,VEG,Vatapá Vegano,Vatapá Vegano,26.0,2.0,1.0,29.0,9.344827586206897
P1,2026-05-15,Jantar,91.0,PB,Sobrecoxa com Gergelim,Sobrecoxa com Gergelim,15.0,2.0,0.0,17.0,9.411764705882353
B,2026-05-15,Jantar,91.0,PB,Sobrecoxa com Gergelim,Sobrecoxa com Gergelim,22.0,1.0,2.0,25.0,9.08
P1,2026-05-15,Jantar,128.0,PV,Lasanha de Carne Moída,Lasanha de Carne Moída,120.0,12.0,1.0,133.0,9.481203007518797
B,2026-05-15,Jantar,128.0,PV,Lasanha de Carne Moída,Lasanha de Carne Moída,117.0,14.0,5.0,136.0,9.154411764705882
P1,2026-05-15,Jantar,195.0,VEG,Lasanha de Brócolis,Lasanha de Brócolis,13.0,7.0,1.0,21.0,7.904761904761905
B,2026-05-15,Jantar,195.0,VEG,Lasanha de Brócolis,Lasanha de Brócolis,17.0,3.0,1.0,21.0,8.857142857142858
P1,2026-05-18,Jantar,68.0,PB,Isca de Frango Acebolado,Isca de Frango Acebolado,31.0,7.0,3.0,41.0,8.487804878048781
B,2026-05-18,Jantar,68.0,PB,Isca de Frango Acebolado,Isca de Frango Acebolado,27.0,4.0,1.0,32.0,9.09375
P1,2026-05-18,Jantar,129.0,PV,Paçoca de Carne,Paçoca de Carne,73.0,13.0,7.0,93.0,8.623655913978494
B,2026-05-18,Jantar,129.0,PV,Paçoca de Carne,Paçoca de Carne,47.0,8.0,1.0,56.0,9.125
P1,2026-05-18,Jantar,213.0,VEG,Yakissoba Vegetariano,Yakissoba Vegetariano,21.0,5.0,12.0,38.0,6.5
B,2026-05-18,Jantar,213.0,VEG,Yakissoba Vegetariano,Yakissoba Vegetariano,13.0,8.0,2.0,23.0,7.478260869565218
P1,2026-05-19,Jantar,83.0,PB,Sobrecoxa Crocante,Sobrecoxa Crocante,37.0,17.0,4.0,58.0,7.913793103448276
B,2026-05-19,Jantar,83.0,PB,Sobrecoxa Crocante,Sobrecoxa Crocante,45.0,15.0,9.0,69.0,7.739130434782608
P1,2026-05-19,Jantar,126.0,PV,Jardineira de Carne Moída,Jardineira de Carne Moída,62.0,8.0,2.0,72.0,9.194444444444445
B,2026-05-19,Jantar,126.0,PV,Jardineira de Carne Moída,Jardineira de Carne Moída,66.0,14.0,3.0,83.0,8.831325301204819
P1,2026-05-19,Jantar,208.0,VEG,Soja à Bolonhesa,Soja à Bolonhesa,28.0,7.0,3.0,38.0,8.368421052631579
B,2026-05-19,Jantar,208.0,VEG,Soja à Bolonhesa,Soja à Bolonhesa,19.0,1.0,3.0,23.0,8.608695652173912
P1,2026-05-20,Jantar,57.0,PB,Cubos de Frango ao M. de Legumes,Cubos de Frango ao M. de Legumes,32.0,10.0,20.0,62.0,6.290322580645161
B,2026-05-20,Jantar,57.0,PB,Cubos de Frango ao M. de Legumes,Cubos de Frango ao M. de Legumes,37.0,12.0,6.0,55.0,7.927272727272728
P1,2026-05-20,Jantar,118.0,PV,Estrogonofe de Carne,Estrogonofe de Carne,75.0,7.0,1.0,83.0,9.46987951807229
B,2026-05-20,Jantar,118.0,PV,Estrogonofe de Carne,Estrogonofe de Carne,91.0,9.0,4.0,104.0,9.221153846153847
P1,2026-05-20,Jantar,172.0,VEG,Almôndegas de Lentilha,Almôndegas de Lentilha,7.0,5.0,4.0,16.0,6.1875
B,2026-05-20,Jantar,172.0,VEG,Almôndegas de Lentilha,Almôndegas de Lentilha,2.0,5.0,0.0,7.0,6.428571428571429
P1,2026-05-21,Jantar,76.0,PB,Peixe Assado,Peixe Assado,58.0,3.0,0.0,61.0,9.754098360655737
B,2026-05-21,Jantar,76.0,PB,Peixe Assado,Peixe Assado,66.0,9.0,7.0,82.0,8.682926829268293
P1,2026-05-21,Jantar,121.0,PV,Isca de Carne Acebolada,Isca de Carne Acebolada,48.0,8.0,0.0,56.0,9.285714285714286
B,2026-05-21,Jantar,121.0,PV,Isca de Carne Acebolada,Isca de Carne Acebolada,70.0,5.0,0.0,75.0,9.666666666666666
P1,2026-05-21,Jantar,212.0,VEG,Vatapá Vegano,Vatapá Vegano,23.0,6.0,7.0,36.0,7.416666666666667
B,2026-05-21,Jantar,212.0,VEG,Vatapá Vegano,Vatapá Vegano,12.0,7.0,3.0,22.0,7.181818181818182
P1,2026-05-22,Jantar,63.0,PB,Escondidinho de Frango,Escondidinho de Frango,85.0,15.0,5.0,105.0,8.857142857142858
B,2026-05-22,Jantar,63.0,PB,Escondidinho de Frango,Escondidinho de Frango,66.0,6.0,0.0,72.0,9.583333333333334
P1,2026-05-22,Jantar,96.0,PV,Calabresa à Carioca,Calabresa à Carioca,67.0,3.0,1.0,71.0,9.661971830985916
B,2026-05-22,Jantar,96.0,PV,Calabresa à Carioca,Calabresa à Carioca,40.0,4.0,16.0,60.0,7.266666666666667
P1,2026-05-22,Jantar,184.0,VEG,Escondidinho de Legumes,Escondidinho de Legumes,6.0,1.0,2.0,9.0,7.444444444444445
B,2026-05-22,Jantar,184.0,VEG,Escondidinho de Legumes,Escondidinho de Legumes,6.0,2.0,7.0,15.0,5.133333333333334
P1,2026-05-25,Jantar,86.0,PB,Sobrecoxa Desossada ao M.Ervas,Sobrecoxa Desossada ao M.Ervas,48.0,18.0,11.0,77.0,7.545454545454546
B,2026-05-25,Jantar,86.0,PB,Sobrecoxa Desossada ao M.Ervas,Sobrecoxa Desossada ao M.Ervas,56.0,8.0,1.0,65.0,9.246153846153845
P1,2026-05-25,Jantar,108.0,PV,Cubo suíno acebolado,Cubo suíno acebolado,39.0,14.0,5.0,58.0,8.017241379310345
B,2026-05-25,Jantar,108.0,PV,Cubo suíno acebolado,Cubo suíno acebolado,42.0,10.0,9.0,61.0,7.852459016393443
P1,2026-05-25,Jantar,180.0,VEG,Bolinho de Ervilha com Aveia,Bolinho de Ervilha com Aveia,6.0,4.0,5.0,15.0,5.666666666666667
B,2026-05-25,Jantar,180.0,VEG,Bolinho de Ervilha com Aveia,Bolinho de Ervilha com Aveia,13.0,3.0,4.0,20.0,7.45
P1,2026-05-26,Jantar,64.0,PB,Estrogonofe de Frango,Estrogonofe de Frango,83.0,7.0,2.0,92.0,9.423913043478262
B,2026-05-26,Jantar,64.0,PB,Estrogonofe de Frango,Estrogonofe de Frango,63.0,15.0,0.0,78.0,9.038461538461538
P1,2026-05-26,Jantar,97.0,PV,Carne Moída Refogada,Carne Moída Refogada,73.0,10.0,6.0,89.0,8.831460674157304
B,2026-05-26,Jantar,97.0,PV,Carne Moída Refogada,Carne Moída Refogada,48.0,7.0,2.0,57.0,9.070175438596491
P1,2026-05-26,Jantar,192.0,VEG,Jardineira de Soja,Jardineira de Soja,6.0,2.0,4.0,12.0,6.166666666666667
B,2026-05-26,Jantar,192.0,VEG,Jardineira de Soja,Jardineira de Soja,7.0,6.0,0.0,13.0,7.6923076923076925
P1,2026-05-27,Jantar,81.0,PB,Sobrecoxa Assada,Sobrecoxa Assada,40.0,9.0,2.0,51.0,8.764705882352942
B,2026-05-27,Jantar,81.0,PB,Sobrecoxa Assada,Sobrecoxa Assada,50.0,7.0,2.0,59.0,9.101694915254237
P1,2026-05-27,Jantar,121.0,PV,Isca de Carne Acebolada,Isca de Carne Acebolada,50.0,4.0,5.0,59.0,8.898305084745763
B,2026-05-27,Jantar,121.0,PV,Isca de Carne Acebolada,Isca de Carne Acebolada,87.0,4.0,4.0,95.0,9.410526315789474
P1,2026-05-27,Jantar,194.0,VEG,Lasanha de Batatas,Lasanha de Batatas,42.0,16.0,5.0,63.0,8.015873015873016
B,2026-05-27,Jantar,194.0,VEG,Lasanha de Batatas,Lasanha de Batatas,42.0,6.0,9.0,57.0,8.052631578947368
P1,2026-05-28,Jantar,68.0,PB,Isca de Frango Acebolado,Isca de Frango Acebolado,36.0,8.0,0.0,44.0,9.090909090909092
B,2026-05-28,Jantar,68.0,PB,Isca de Frango Acebolado,Isca de Frango Acebolado,65.0,5.0,0.0,70.0,9.642857142857142
P1,2026-05-28,Jantar,106.0,PV,Cubo Suíno ao Molho Barbecue,Cubo Suíno ao Molho Barbecue,84.0,6.0,1.0,91.0,9.571428571428571
B,2026-05-28,Jantar,106.0,PV,Cubo Suíno ao Molho Barbecue,Cubo Suíno ao Molho Barbecue,57.0,1.0,1.0,59.0,9.76271186440678
P1,2026-05-28,Jantar,185.0,VEG,Escondidinho de Soja,Escondidinho de Soja,15.0,4.0,0.0,19.0,8.947368421052632
B,2026-05-28,Jantar,185.0,VEG,Escondidinho de Soja,Escondidinho de Soja,11.0,4.0,1.0,16.0,8.1875
P1,2026-05-29,Jantar,60.0,PB,Cubos de Frango com Batata Rústica,Cubos de Frango com Batata Rústica,13.0,6.0,0.0,19.0,8.421052631578947
B,2026-05-29,Jantar,60.0,PB,Cubos de Frango com Batata Rústica,Cubos de Frango com Batata Rústica,17.0,7.0,1.0,25.0,8.24
P1,2026-05-29,Jantar,117.0,PV,Escondidinho de Carne,Escondidinho de Carne,70.0,8.0,13.0,91.0,8.274725274725276
B,2026-05-29,Jantar,117.0,PV,Escondidinho de Carne,Escondidinho de Carne,98.0,26.0,4.0,128.0,8.703125
P1,2026-05-29,Jantar,181.0,VEG,Bolinho de grão de bico,Bolinho de grão de bico,3.0,7.0,5.0,15.0,4.666666666666667
B,2026-05-29,Jantar,181.0,VEG,Bolinho de grão de bico,Bolinho de grão de bico,2.0,5.0,1.0,8.0,5.75
P1,2026-06-01,Jantar,67.0,PB,Fricassê de Frango,Fricassê de Frango,103.0,13.0,10.0,126.0,8.76984126984127
B,2026-06-01,Jantar,67.0,PB,Fricassê de Frango,Fricassê de Frango,91.0,7.0,3.0,101.0,9.386138613861386
P1,2026-06-01,Jantar,108.0,PV,Cubo suíno acebolado,Cubo suíno acebolado,25.0,7.0,3.0,35.0,8.228571428571428
B,2026-06-01,Jantar,108.0,PV,Cubo suíno acebolado,Cubo suíno acebolado,26.0,1.0,0.0,27.0,9.814814814814815
P1,2026-06-01,Jantar,205.0,VEG,Salpicão vegano,Salpicão vegano,2.0,6.0,3.0,11.0,4.818181818181818
B,2026-06-01,Jantar,205.0,VEG,Salpicão vegano,Salpicão vegano,5.0,1.0,9.0,15.0,4.266666666666667
P1,2026-06-02,Jantar,81.0,PB,Sobrecoxa Assada,Sobrecoxa Assada,53.0,12.0,2.0,67.0,8.835820895522389
B,2026-06-02,Jantar,81.0,PB,Sobrecoxa Assada,Sobrecoxa Assada,51.0,7.0,8.0,66.0,8.378787878787879
P1,2026-06-02,Jantar,97.0,PV,Carne Moída Refogada,Carne Moída Refogada,48.0,7.0,2.0,57.0,9.070175438596491
B,2026-06-02,Jantar,97.0,PV,Carne Moída Refogada,Carne Moída Refogada,52.0,9.0,3.0,64.0,8.875
P1,2026-06-02,Jantar,190.0,VEG,Hambúrguer de Soja,Hambúrguer de Soja,11.0,2.0,6.0,19.0,6.631578947368421
B,2026-06-02,Jantar,190.0,VEG,Hambúrguer de Soja,Hambúrguer de Soja,17.0,4.0,2.0,23.0,8.347826086956522
P1,2026-06-03,Jantar,52.0,PB,Cubos de Frango Acebolado,Cubos de Frango Acebolado,17.0,9.0,3.0,29.0,7.517241379310345
B,2026-06-03,Jantar,52.0,PB,Cubos de Frango Acebolado,Cubos de Frango Acebolado,17.0,7.0,3.0,27.0,7.703703703703703
P1,2026-06-03,Jantar,123.0,PV,Isca de Carne ao M. Tomate,Isca de Carne ao M. Tomate,56.0,7.0,1.0,64.0,9.3125
B,2026-06-03,Jantar,123.0,PV,Isca de Carne ao M. Tomate,Isca de Carne ao M. Tomate,66.0,3.0,0.0,69.0,9.782608695652174
P1,2026-06-03,Jantar,199.0,VEG,Panqueca Vegana ao Molho Branco,Panqueca Vegana ao Molho Branco,15.0,2.0,1.0,18.0,8.944444444444445
B,2026-06-03,Jantar,199.0,VEG,Panqueca Vegana ao Molho Branco,Panqueca Vegana ao Molho Branco,20.0,3.0,3.0,26.0,8.384615384615385
P1,2026-06-08,Jantar,65.0,PB,Frango Xadrez,Frango Xadrez,62.0,15.0,1.0,78.0,8.923076923076923
B,2026-06-08,Jantar,65.0,PB,Frango Xadrez,Frango Xadrez,56.0,11.0,4.0,71.0,8.71830985915493
P1,2026-06-08,Jantar,130.0,PV,Picadinho com Legumes,Picadinho com Legumes,32.0,12.0,2.0,46.0,8.304347826086957
B,2026-06-08,Jantar,130.0,PV,Picadinho com Legumes,Picadinho com Legumes,45.0,7.0,1.0,53.0,9.169811320754716
P1,2026-06-08,Jantar,203.0,VEG,Rocambole de Grão de Bico,Rocambole de Grão de Bico,13.0,4.0,5.0,22.0,7.045454545454546
B,2026-06-08,Jantar,203.0,VEG,Rocambole de Grão de Bico,Rocambole de Grão de Bico,11.0,5.0,1.0,17.0,8.0
P1,2026-06-09,Jantar,89.0,PB,Sobrecoxa ao M. de Legumes,Sobrecoxa ao M. de Legumes,39.0,6.0,8.0,53.0,8.075471698113208
B,2026-06-09,Jantar,89.0,PB,Sobrecoxa ao M. de Legumes,Sobrecoxa ao M. de Legumes,37.0,12.0,9.0,58.0,7.568965517241379
P1,2026-06-09,Jantar,97.0,PV,Carne Moída Refogada,Carne Moída Refogada,79.0,15.0,2.0,96.0,9.03125
B,2026-06-09,Jantar,97.0,PV,Carne Moída Refogada,Carne Moída Refogada,32.0,8.0,7.0,47.0,7.808510638297872
P1,2026-06-09,Jantar,177.0,VEG,Bobó de Legumes,Bobó de Legumes,12.0,5.0,2.0,19.0,7.7368421052631575
B,2026-06-09,Jantar,177.0,VEG,Bobó de Legumes,Bobó de Legumes,15.0,1.0,2.0,18.0,8.722222222222221
P1,2026-06-10,Jantar,92.0,PB,Vatapá de Frango,Vatapá de Frango,101.0,10.0,2.0,113.0,9.398230088495575
B,2026-06-10,Jantar,92.0,PB,Vatapá de Frango,Vatapá de Frango,114.0,8.0,0.0,122.0,9.672131147540984
P1,2026-06-10,Jantar,121.0,PV,Isca de Carne Acebolada,Isca de Carne Acebolada,38.0,9.0,5.0,52.0,8.26923076923077
B,2026-06-10,Jantar,121.0,PV,Isca de Carne Acebolada,Isca de Carne Acebolada,43.0,13.0,1.0,57.0,8.701754385964913
P1,2026-06-10,Jantar,182.0,VEG,Bolo Salgado Vegano,Bolo Salgado Vegano,10.0,2.0,3.0,15.0,7.533333333333333
